0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
194131500,58342153.3,-4585030.106,-3117211.806,-524211.2886,1950650.433,-1001319.077,-533003.016,-789356.1351,391214.0492,298085.7224,658730.5388,-1246591.114,-490593.2058,233755.4439,478142.9252,-1043156.518,33145.02923,570420.7453,271443.9471,-362318.6173,-456949.9035,631494.3727,253519.2395,-37329.38946,-341917.1033,349839.5015,372736.3335,-175729.2046,-190538.0686,1
199202374,6434187.467,14565581.83,16689402.65,1511161.34,-4795662.218,-1396533.204,-122663.2269,-1901853.244,907909.0908,1973553.766,-58093.53351,-1101556.77,1401132.605,-16288.56578,-483695.5747,539107.4812,433087.7346,-254243.174,-285407.2131,391320.5797,262502.4716,580200.6855,-531574.3849,-848943.8658,790405.6739,-254338.0915,-45208.97123,306090.5438,114834.8802,1
125660848,11639310.65,3664307.55,-4514066.993,-222933.5675,-1280186.697,-2048782.404,-1069538.701,601509.3553,-2676551.508,-4247449.347,-3261663.261,-2923923.691,-3222037.44,-1829452.933,-2265070.912,-1636836.125,-110594.4863,508914.3328,1055100.244,1182277.67,1490117.943,1681453.434,1176471.961,1050757.092,565035.1616,566496.3847,-241104.9711,-121066.4595,-802382.4487,0
194277644,3618881.789,-4077652.944,-869498.3876,-1465702.625,-373364.9006,-545342.9928,-44583.19991,-349304.372,152788.4226,-263728.0329,26613.59041,-321102.7627,-36111.75921,-339692.621,-69459.60771,-350107.1608,-37655.6391,-221299.3466,29738.09821,-175303.4568,36067.5194,-210065.3722,25942.97206,-242164.5667,-4710.374507,-243615.7255,-45089.6769,-227503.0574,-11580.85146,0
43609464,13170978.51,3267864.02,137224.2462,-288634.4452,235754.5357,306019.0112,-804977.3945,-915587.7506,-513260.3218,-49725.29739,-962847.4028,-397381.9535,-8817.516359,-245259.4521,-884525.3226,-382041.2052,-275462.2468,-215773.0862,-80337.15804,-66551.11357,185335.4998,62371.25914,-419074.6691,-356874.6606,8677.383245,-77471.50414,-69692.44897,100586.4635,171800.0302,0
157745968,17029791.39,-271064.9898,4236355.065,-2509791.663,3461740.624,-3488527.605,3131319.947,-2515447.89,845002.3758,-374629.8442,-818443.4117,528635.3622,-297290.8926,-150023.9109,-249189.1633,-153969.9751,-369369.934,-484605.9554,215655.9907,-174584.5547,-289780.6326,1100752.725,-1441897.077,1147386.706,-1306408.493,1217051.339,-360873.8421,-497571.6708,796542.6289,0
79688720,-5097752.191,5164958.603,-4625665.736,-2246650.867,5197974.939,1764305.24,-2393633.285,-4216694.402,1919020.603,1453725.961,1835521.169,-1558885.472,-591908.5225,-575676.7002,-54821.10639,-223329.3313,986761.2186,-279197.9641,-333438.353,-1111989.705,797553.8728,122372.1776,-427855.1277,399264.0921,-100042.1364,374158.9325,-310074.547,-44576.7062,687540.4084,1
136564078,31768765.56,-883491.3239,2934862.961,-3059022.074,-1567780.439,1634749.165,4495897.092,1423391.707,744522.2537,643528.8186,138828.4983,1264174.83,796858.2713,293272.8424,725108.1743,1003005.547,38465.682,-1326538.82,-181948.9147,304884.4782,646199.7289,1549077.986,731979.2508,882460.0386,150734.4883,142986.1946,-751.6402822,-225920.3231,-617049.9281,1
233867000,-627149.6164,11030435.66,-1900524.71,-4153812.894,-3728531.189,-94444.57803,-2054072.519,-1442366.738,816090.91,-53571.33737,-1237559.572,-363125.1622,915992.591,-1154579.841,-446369.7785,261377.5031,447099.9498,-1021301.849,-81268.31439,640056.5117,-129352.8499,189283.9563,-1083451.662,-60614.51434,264980.4172,140386.9197,-36694.19066,-166523.6248,250942.0575,1
154877006,19709631.45,19558172.11,15647049.91,6656088.261,3030492.661,-3092280.229,-2195559.772,191391.6644,-2591960.485,-2173379.478,-1666934.735,221014.2296,665457.4695,-381236.8249,913521.7327,529697.3173,-134949.0359,507629.1253,827097.6533,-31377.20884,-133615.5187,-893953.5284,267363.6233,-82569.36495,-433014.7294,-289403.3354,50157.61823,52371.85713,536953.7207,1
32043194,-4251503.218,1318515.861,4635460.12,2421186.954,3034847.147,2223796.442,740277.2624,-479024.865,-636721.4159,306680.8905,-385926.4463,-1026085.805,-946666.2289,-980685.1309,-707609.1773,-753651.5544,-518405.6079,-98744.28859,-45135.93453,-331635.0712,-104986.2329,383212.9686,385830.354,11081.08001,-245621.2227,-127544.1829,114896.7803,-23974.69371,-509042.7054,1
95436504,-805701.9768,-6242872.379,3000763.741,-1884455.107,-2070974.88,-5207763.143,2316430.659,-2872050.567,-1821572.256,-1591194.097,1845256.087,1322520.752,-25688.78236,-767135.5686,2297935.331,216543.2839,228326.3184,-802541.9385,861029.1131,739068.5312,870594.5106,184523.6206,1585362.951,735803.995,212086.2304,-269213.2624,1252203.107,1105133.258,-116787.2837,1
184933452,53367122.55,-2312488.03,3498348.179,-3468927.369,-2597795.648,3555291.782,1920444.21,-84728.75576,-287516.924,-1007303.807,-94738.4753,1775644.803,-804226.8864,-404028.4568,52260.79902,-135258.9875,506795.1517,-4720.151573,45802.92587,-345051.9494,216116.2433,-170161.7559,-293750.6547,239539.206,112029.04,-288043.5359,287727.2848,-316929.1213,409026.1599,1
119831198,6907536.265,4484157.429,-754510.5793,3983286.483,3593357.414,-676166.2181,777470.7911,1281644.011,-197155.538,388372.2092,-431849.1658,-921911.3107,1617487.839,-507417.0649,-1297178.071,817622.043,525083.8483,-507898.4509,-677383.6126,-727643.6857,-33338.4106,-639698.9489,-160477.4686,391000.7319,446743.5995,752279.2695,27364.21773,56227.11574,179262.193,1
